As one of the main arteries of urban transportation, the city subway carries a huge passenger flow and its operation and management are very complex. Among them, crew scheduling is one of the key links in subway operation management and also the starting point and difficulty of crew management. The subway transportation volume is large, with complex and changing routes, and frequent operation intervals. Crew drivers face huge, continuous, and high-intensity transportation tasks. It is important to arrange the driver's shift and duty mode reasonably and achieve the optimal allocation of personnel to ensure the efficient and stable operation of the subway. Due to the increasing complexity of the subway operation network, traditional manual scheduling methods can no longer meet the high standard operation requirements. Automated and intelligent crew scheduling has become an inevitable trend.

The general process of crew scheduling for subway operating companies is as follows: export train operation section and time information tables based on the current operation chart, manually divide the crew duty roster based on these information tables, compile the crew scheduling master table based on the duty roster, and finally allocate the crew groups based on the scheduling master table to form the final scheduling table. The entire process relies on manual compilation and mainly has the following three major problems:

1. Low scheduling efficiency: Crew scheduling business rules are complex, and the workload is large. The efficiency of manual compilation is very low, requiring at least one week. The manpower and time costs are high.

2. Difficulty in adjustment: When encountering unexpected situations such as train failures and temporary leave of crew members, it is difficult to quickly adjust the scheduling plan based on manual methods, affecting the efficiency of operation management.

3. Uneven task assignment: Manual scheduling has subjective limitations and strong dependence on human experience. If the scheduling is unreasonable, it may lead to uneven task assignment, unfair scheduling, and low crew satisfaction.

This subway line includes 40 platforms, among which A, M, and Z platforms are available for driver transfers and handovers. Please consider 200 driving tasks and their attributes such as time, location, and mileage, and consider classic constraints in crew scheduling scenarios, such as maximum continuous driving time constraint, mileage limit constraint, attendance location constraint, etc. Compare different mixed integer modeling methods to minimize the number of drivers as the goal and output the optimal task chain combination (i.e. the allocation and connection relationship of all tasks) for all tasks.

### Example
Mileage Information Table.csv = \"""
Departure Station,Arrival Station,Mileage
A,M,17.1
Z,M,26.4
\"""

Task Information Table.csv = \"""
Train Number,Train ID,Pickup Time,Pickup Location,Drop-off Time,Drop-off Location
331,M16,10:03:11,M,10:57:43,Z
1,L06,10:03:43,Z,10:58:32,M
163,N23,10:04:10,A,10:39:11,M
332,N27,10:04:32,M,10:40:10,A
333,N20,10:09:11,M,11:03:43,Z
2,L07,10:09:43,Z,11:04:32,M
164,L11,10:10:10,A,10:45:11,M
334,L01,10:10:32,M,10:46:10,A
335,M17,10:15:11,M,11:09:43,Z
3,M13,10:15:43,Z,11:10:32,M
165,N24,10:16:10,A,10:51:11,M
336,N28,10:16:32,M,10:52:10,A
337,N21,10:21:11,M,11:15:43,Z
4,L08,10:21:43,Z,11:16:32,M
166,N25,10:22:10,A,10:57:11,M
338,L02,10:22:32,M,10:58:10,A
339,M18,10:27:11,M,11:21:43,Z
5,M14,10:27:43,Z,11:22:32,M
167,N26,10:28:10,A,11:03:11,M
340,L03,10:28:32,M,11:04:10,A
341,N22,10:33:11,M,11:27:43,Z
6,L09,10:33:43,Z,11:28:32,M
168,L12,10:34:10,A,11:09:11,M
342,N29,10:34:32,M,11:10:10,A
343,N23,10:39:11,M,11:33:43,Z
7,M15,10:39:43,Z,11:34:32,M
169,N27,10:40:10,A,11:15:11,M
344,L04,10:40:32,M,11:16:10,A
345,L11,10:45:11,M,11:39:43,Z
8,N19,10:45:43,Z,11:40:32,M
170,L01,10:46:10,A,11:21:11,M
346,L05,10:46:32,M,11:22:10,A
347,N24,10:51:11,M,11:45:43,Z
9,L10,10:51:43,Z,11:46:32,M
171,N28,10:52:10,A,11:27:11,M
348,N30,10:52:32,M,11:28:10,A
349,N25,10:57:11,M,11:51:43,Z
10,M16,10:57:43,Z,11:52:32,M
172,L02,10:58:10,A,11:33:11,M
350,L06,10:58:32,M,11:34:10,A
351,N26,11:03:11,M,11:57:43,Z
11,N20,11:03:43,Z,11:58:32,M
173,L03,11:04:10,A,11:39:11,M
352,L07,11:04:32,M,11:40:10,A
353,L12,11:09:11,M,12:03:43,Z
12,M17,11:09:43,Z,12:04:32,M
174,N29,11:10:10,A,11:45:11,M
354,M13,11:10:32,M,11:46:10,A
355,N27,11:15:11,M,12:09:43,Z
13,N21,11:15:43,Z,12:10:32,M
175,L04,11:16:10,A,11:51:11,M
356,L08,11:16:32,M,11:52:10,A
357,L01,11:21:11,M,12:15:43,Z
14,M18,11:21:43,Z,12:16:32,M
176,L05,11:22:10,A,11:57:11,M
